VerbatimTweet	CleanedTweet	Predicted	Actual
I watch Amyah throw temper tantrums when she gets mad at something and I'm just like damnit that is me and I can't do nothing but laugh ðŸ˜…	watch amyah throw temper tantrums gets mad something like damnit ca nothing laugh ðÿ˜…	0.52268624	0.312
@crystaldiamondo impossible to say. We can only hope that I donâ€™t unwittingly trigger her ferocious side again. Hell hath no fury..	impossible say. hope donâ€™t unwittingly trigger ferocious side again. hell hath fury..	0.633235	0.625
@SportingTommo @ASFCofficial no doubt we are going to struggle this year. But moments like that from Payet take the sting out of it.	doubt going struggle year. moments like payet take sting it.	0.44680795	0.458
Autocorrect changes ''em' to 'me' which I resent greatly	autocorrect changes ''em' ame' resent greatly	0.4375295	0.521
Candice on great british bake off with that pout does my head in ðŸ‘ŠðŸ»ðŸ™„	candice great british bake pout head ðÿ‘šðÿ»ðÿ™„	0.36215338	0.583
Point scorning and fury at Labor does nothing to address long term detention and the need to resettle #asylumseekers from #manus and #Nauru	point scorning fury labor nothing address long term detention need resettle asylumseekers manus nauru	0.64987767	0.458
HUGE CONGRATULATIONS TO NICOLE WINNING BIG BROTHER 18! @BBNicole #BB18 sorry not sorry #bitter #bbmichelle	huge congratulations nicole winning big brother 18 ! bb18 sorry sorry bitter bbmichelle	0.5848253	0.271
HUGE CONGRATULATIONS TO NICOLE WINNING BIG BROTHER 18! @BBNicole #BB18 sorry not sorry  #bbmichelle	huge congratulations nicole winning big brother 18 ! bb18 sorry sorry bbmichelle	0.4309669	0.188
Fast and furious 6 this Monday 10 pm on mbc 2 ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜	fast furious 6 monday 10 pm mbc 2 ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜	0.57345605	0.271
Not sorry for that burst of anti #Allo spam, fuck any messaging app launching in 2016, without encryption on by default.	sorry burst anti allo spam fuck messaging app launching 2016 without encryption default.	0.5275555	0.708
So I'm not being shady but one of Jongdae's ex rumoured girlfriends is going on WGM I'm not saying I'm over joyed but I'm over joyed #bitter	shady one jongdae ex rumoured girlfriends going wgm saying joyed joyed bitter	0.51314473	0.417
So I'm not being shady but one of Jongdae's ex rumoured girlfriends is going on WGM I'm not saying I'm over joyed but I'm over joyed 	shady one jongdae ex rumoured girlfriends going wgm saying joyed joyed	0.5377945	0.292
At work yesterday some old cunt couple told me their coffees were cold and wanted a refund so i put my finger in it front of them angrily	work yesterday old cunt couple told coffees cold wanted refund put finger front angrily	0.6368253	0.771
When you want to say something so bad but can't ! #furious ðŸ˜¤	want say something bad ca ! furious ðÿ˜¤	0.6024614	0.521
â€œCompetition is suppose to motivate you to do better everytime not to be bitter all the timeâ€ -De philosopher DJ Kyos \n#quote #success #CSGO	â€œcompetition suppose motivate better everytime bitter timeâ€ -de philosopher dj kyos quote success csgo	0.36572868	0.271
@TheRevAl please tell us why 'protesting' injustice requires #burning #beating and #looting terrible optics #toussaintromain is true leader!	please tell us 'protesting' injustice requires burning beating looting terrible optics toussaintromain true leader !	0.461663	0.729
@XboxMAD @RobotBrush Ballmer will be furious. Another delivery lost...	ballmer furious. another delivery lost...	0.65419126	0.5
Stop tracking back you fucking potato faced cunt errrr infuriating ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜  #angry #Rooney #mufc	stop tracking back fucking potato faced cunt errrr infuriating ðÿ˜ ðÿ˜ ðÿ˜ ðÿ˜ ðÿ˜ angry rooney mufc	0.76241404	0.938
Stop tracking back you fucking potato faced cunt errrr infuriating ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜   #Rooney #mufc	stop tracking back fucking potato faced cunt errrr infuriating ðÿ˜ ðÿ˜ ðÿ˜ ðÿ˜ ðÿ˜ rooney mufc	0.7533956	0.917
@TheBarmyArmy looking forward to div 2 next year @AndyBarmyArmy? #revenge #leictershireaway #therey	looking forward div 2 next year revenge leictershireaway therey	0.41349944	0.479
@TheBarmyArmy looking forward to div 2 next year @AndyBarmyArmy?  #leictershireaway #therey	looking forward div 2 next year leictershireaway therey	0.17722495	0.375
@aGirlHasNo_Name @MdlMurray shot by black police woman Typical looney toon thinking.#Hillary #divide #anger #chaos	shot black police woman typical looney toon thinking.hillary divide anger chaos	0.64494956	0.648
Can't believe @virginmedia are putting their prices up!! They already know I'm struggling to pay my bill &amp; won't change my package!! 	ca believe putting prices ! ! already know struggling pay bill & wo change package ! !	0.5712664	0.667
Can't believe @virginmedia are putting their prices up!! They already know I'm struggling to pay my bill &amp; won't change my package!! #raging	ca believe putting prices ! ! already know struggling pay bill & wo change package ! ! raging	0.57086307	0.755
Yal aggravate tf outta me acting lying yal can't tell the difference between a dyke and a man. RARELY is it that hard to tell the difference	yal aggravate tf outta acting lying yal ca tell difference dyke man. rarely hard tell difference	0.5964039	0.792
If i could just get my line to block!  #germantownbroncos #lilleague #popwarner #Broncos #usafootball #offense #lineman	could get line block ! germantownbroncos lilleague popwarner broncos usafootball offense lineman	0.51980436	0.521
Star trek online has a update to download oh fuming yay	star trek online update download oh fuming yay	0.518425	0.479
@NewAgeInsiders @ChaoticWrestlin @davienne_long make sure you tell them how scared you are #revenge ðŸ™ŒðŸ¼ðŸ™ŒðŸ¼	make sure tell scared revenge ðÿ™œðÿ¼ðÿ™œðÿ¼	0.5132949	0.5
@SpookyHelder ...specifically are the cause of it all, and they resent being considered the enemy.	...specifically cause resent considered enemy.	0.5396484	0.417
The war is right outside your door #rage #USAToday	war right outside door rage usatoday	0.68941957	0.5
The war is right outside your door  #USAToday	war right outside door usatoday	0.5075022	0.396
A guy was raging so hard during a rocket league game, when i beat him he started crying and i was laughing so hard lol	guy raging hard rocket league game beat started crying laughing hard lol	0.60422754	0.333
@donlemon listening to these politicians is making me so #angry I'm so fucking tired of political speak by career politicians @PatMcCroryNC	listening politicians making angry fucking tired political speak career politicians	0.7134437	0.798
Bored rn leave Kik/Snapchat #kik #kikme #kikmessage #boredaf #bored #snapchatme #snapchat #snap #country #countrygirl	bored rn leave kik/snapchat kik kikme kikmessage boredaf bored snapchatme snapchat snap country countrygirl	0.4603236	0.375
Bored rn leave Kik/Snapchat #kik #kikme #kikmessage #boredaf #bored #snapchatme #snapchat  #country #countrygirl	bored rn leave kik/snapchat kik kikme kikmessage boredaf bored snapchatme snapchat country countrygirl	0.51556665	0.173
@easyJet Hi folks. Flight is going to be over an hour late departing from INV (EZY864), how do we go about getting a refund please? #boiling	hi folks. flight going hour late departing inv ezy864 go getting refund please ? boiling	0.5178437	0.771
@easyJet Hi folks. Flight is going to be over an hour late departing from INV (EZY864), how do we go about getting a refund please? 	hi folks. flight going hour late departing inv ezy864 go getting refund please ?	0.56123435	0.625
@louiseannexx u fucked my house up I'll always hold a grudge	u fucked house always hold grudge	0.50847024	0.906
@josefcd904 @Reddou_Kun @deven_luca @supersoniclemon He also likes incurring Lily's wrath.	also likes incurring lily wrath.	0.40153646	0.333
@ReadingFC @EFLCup - remind them 'Twenty's Plenty' #revenge!	- remind 'twenty plenty' revenge !	0.44365254	0.438
@ReadingFC @EFLCup - remind them 'Twenty's Plenty' !	- remind 'twenty plenty' !	0.344683	0.25
@twojacksdetail @bluelivesmtr Very rare an officer just shoots without regard. They don't want that on their conscience. #incite #inflame	rare officer shoots without regard. want conscience. incite inflame	0.5135935	0.646
@twojacksdetail @bluelivesmtr Very rare an officer just shoots without regard. They don't want that on their conscience. #incite 	rare officer shoots without regard. want conscience. incite	0.43560553	0.5
@FakingALeto Gerard finally made it up the stairs with a little huff, his face a little more red than it was before. Having little legs --	gerard finally made stairs little huff face little red before. little legs --	0.372681	0.5
After what just happened. In need to smoke. #burning	happened. need smoke. burning	0.4167001	0.688
After what just happened. In need to smoke. 	happened. need smoke.	0.4022605	0.479
I really wish my road rage wasn't so damn bad lmaooooo	really wish road rage damn bad lmaooooo	0.50709957	0.604
@__lucymellor No idea, just exhausted and I was tidying my room and just burst out crying ... fs	idea exhausted tidying room burst crying ... fs	0.40066198	0.375
@NahteWilly @AFP that was neither intelligent, definitive or useful shall I name call or would you like to expand on how I have offend you ?	neither intelligent definitive useful shall name call would like expand offend ?	0.47937685	0.458
when you think you've got it together for a day then you randomly burst out crying	think got together day randomly burst crying	0.3793326	0.323
You offend me, @Tansorma	offend	0.42811224	0.542
@jamielamieee @gerbicapiral_ @Dory then I look at you and we burst out laughing	look burst laughing	0.23868881	0.229
@WellerMonica Hi Monica, I write regularly for @ctysmallholding  - but not on bees - never dared try them #buzz #sting #HONEY	hi monica write regularly - bees - never dared try buzz sting honey	0.41883725	0.375
@WellerMonica Hi Monica, I write regularly for @ctysmallholding  - but not on bees - never dared try them #buzz  #HONEY	hi monica write regularly - bees - never dared try buzz honey	0.4476112	0.354
@smendler (2)  Watch out for ppl who have been filled w/ impotent rage over time - they can be led to do just about anything	2 watch ppl filled w/ impotent rage time - led anything	0.56039953	0.465
I just killed a spider so big it sprayed spider guts on me like a horror movie.\n#ugh #revenge	killed spider big sprayed spider guts like horror movie. ugh revenge	0.47424647	0.521
@SopanDeb @johnrobertsFox @azizansari Let's not stereotype all South Asians as relentless beat reporters.	let stereotype south asians relentless beat reporters.	0.47364455	0.562
@Alex_Philip2648 it's a step up from boiling broccoli tbh	step boiling broccoli tbh	0.5376343	0.292
@rohan_connolly i think your high-profile female colleague would be one in yhat category... #massexodus 	think high-profile female colleague would one yhat category... massexodus	0.4581042	0.521
@rohan_connolly i think your high-profile female colleague would be one in yhat category... #massexodus #bitter	think high-profile female colleague would one yhat category... massexodus bitter	0.5508016	0.396
@EE whats with the 50p a minute charge to 150, insult to injury	whats 50p minute charge 150 insult injury	0.43761116	0.646
Last night, the Rev. Dr. Earl Johnson spoke to Wake Progressive #Democrats on transforming #moral #outrage into effective political #action.	last night rev. dr. earl johnson spoke wake progressive democrats transforming moral outrage effective political action.	0.5799459	0.396
Repeal/remove the 'Johnson Amendment'. It is a direct affront to the First Amendment of the Constitution.	repeal/remove 'johnson amendment'. direct affront first amendment constitution.	0.5653592	0.438
I HATE little girls ðŸ˜¡ðŸ˜¡ got a lot off growing up to do!!! #fuming	hate little girls ðÿ˜¡ðÿ˜¡ got lot growing ! ! ! fuming	0.57463044	0.875
I HATE little girls ðŸ˜¡ðŸ˜¡ got a lot off growing up to do!!! 	hate little girls ðÿ˜¡ðÿ˜¡ got lot growing ! ! !	0.44230476	0.688
-- used as a pawn in this red woman's game] For now, try not to fret and act as if nothing is amiss. This is a royal -- @TheLadyOfGlenco	-- used pawn red woman game] try fret act nothing amiss. royal --	0.44293404	0.438
Police: Atlanta rapper Shawty Lo killed in fiery car crash	police: atlanta rapper shawty lo killed fiery car crash	0.4944715	0.396
@JamieRJN She's all over the political map in her relentless pursuit of power.	political map relentless pursuit power.	0.27963087	0.333
No one's gonna chill bc fake outrage is fun or w/e but SPACE COLLEGE	one gonna chill bc fake outrage fun w/e space college	0.4935641	0.438
I almost feel offended that she thinks that's a big deal. She's knows I'll literally do anything for her or Kai.	almost feel offended thinks big deal. knows literally anything kai.	0.49739057	0.583
And to discriminate only generates hate\nAnd when you hate then you're bound to get irate,	discriminate generates hate hate bound get irate	0.5863966	0.562
Weak people revenge. Strong people forgive. Intelligent people ignore.	weak people revenge. strong people forgive. intelligent people ignore.	0.46819386	0.271
I wanna kill you and destroy you. I want you died and I want Flint back. #emo #scene #anger #fuck #die #hatered	wanna kill destroy you. want died want flint back. emo scene anger fuck die hatered	0.7064921	0.833
I wanna kill you and destroy you. I want you died and I want Flint back. #emo #scene  #fuck #die #hatered	wanna kill destroy you. want died want flint back. emo scene fuck die hatered	0.6712096	0.91
I wanna kill you and destroy you. I want you died and I want her back. #emo #scene  #fuck #die #hatered	wanna kill destroy you. want died want back. emo scene fuck die hatered	0.729565	0.771
I wanna kill you and destroy you. I want you died and I want her back. #emo #scene #anger #fuck #die #hatered	wanna kill destroy you. want died want back. emo scene anger fuck die hatered	0.702545	0.851
Using multiple combs simultaneously is what I like to call impressive work!!    ;-O  #ohsnap #daaamn	using multiple combs simultaneously like call impressive work ! ! ;-o ohsnap daaamn	0.35253382	0.296
Using multiple combs simultaneously is what I like to call impressive work!!    ;-O #snap #ohsnap #daaamn	using multiple combs simultaneously like call impressive work ! ! ;-o snap ohsnap daaamn	0.36220947	0.292
Nothing is more relentless than a dog begging for food	nothing relentless dog begging food	0.44199714	0.479
ok so i got my madden 17 refunded but now i gotta wait a few days for the money and now gotta pre-order fifa again....	ok got madden 17 refunded gotta wait days money gotta pre-order fifa again....	0.46713197	0.458
@Deadspin @Rlblack1Rob My guess is he's just a convenient target for misplaced anger.  What they're really mad at is how they played.	guess convenient target misplaced anger. really mad played.	0.48990732	0.521
People that smoke cigarettes irritate my soul.	people smoke cigarettes irritate soul.	0.5205482	0.492
Favourite quote of the year so far is by @ameliameech 'I swore at a parsnip' ðŸ˜‚ 	favourite quote year far 'i swore parsnip' ðÿ˜‚	0.4377623	0.312
Favourite quote of the year so far is by @ameliameech 'I swore at a parsnip' ðŸ˜‚ #raging	favourite quote year far 'i swore parsnip' ðÿ˜‚ raging	0.56168574	0.292
Threat factors in respect to provocation bulb worm: BnQo	threat factors respect provocation bulb worm: bnqo	0.355294	0.562
#Scorpio always seek revenge!	scorpio always seek revenge !	0.4839045	0.583
â€” Self-hatred gives rise to fury, fury to the desire for self-change.	â€” self-hatred gives rise fury fury desire self-change.	0.36946324	0.458
You sting like a bee but you're still my honey.	sting like bee still honey.	0.18025632	0.229
if u have time 2 open a snap, u have time 2 respond	u time 2 open snap u time 2 respond	0.4521967	0.375
This may offend some, but I say u never trust a cop ðŸš“ of any color, but especially not a white 1(the evidence is clear)! The klan has awoke	may offend say u never trust cop ðÿš“ color especially white 1the evidence clear ! klan awoke	0.56199485	0.604
@JoeShennan Meanwhile @JoshuaMurrayBM and I are getting a 7.40am train. I hope you really, really enjoy that hotel, Shennan. #fuming	meanwhile getting 7.40am train. hope really really enjoy hotel shennan. fuming	0.41827455	0.583
@JoeShennan Meanwhile @JoshuaMurrayBM and I are getting a 7.40am train. I hope you really, really enjoy that hotel, Shennan. 	meanwhile getting 7.40am train. hope really really enjoy hotel shennan.	0.2625597	0.219
#ForgivenessÂ might make us look #weak, but the weakest person is the one who holds #anger, #hatred, and #revenge.	forgivenessâ might make us look weak weakest person one holds anger hatred revenge.	0.47423917	0.396
#ForgivenessÂ might make us look #weak, but the weakest person is the one who holds #anger, #hatred, and .	forgivenessâ might make us look weak weakest person one holds anger hatred .	0.52355677	0.354
@WinchesterGank If only. Lol I just wish once he understood the crazy of his rabid fans &amp; addressed it.	only. lol wish understood crazy rabid fans & addressed it.	0.44938466	0.356
The way @AvailableCar wash their hands of their mistakes is disgraceful. Left driving round on a tyre that can burst at any moment	way wash hands mistakes disgraceful. left driving round tyre burst moment	0.55819213	0.458
People will talk, words will sting, but how you handle that is what differs you from them. Be like them or change the culture?#BeDifferent	people talk words sting handle differs them. like change culture ?bedifferent	0.4558959	0.354
Be quick to #listen, slow to #speak, and slow to #anger.	quick listen slow speak slow anger.	0.484165	0.292
Be quick to #listen, slow to #speak, and slow to .	quick listen slow speak slow .	0.3681717	0.121
@Yannarell @LOLGOP Despite your #outrage fatigue, don't lose your shine	despite outrage fatigue lose shine	0.38283923	0.417
Police don't wanna be called pigs but they keep actin like em....honestly that's even an insult to pigs	police wanna called pigs keep actin like em....honestly even insult pigs	0.5711519	0.84
troubled soul don't loose your heart 'cause joy and peace he brings and the beauty that's in store outweighs the hurt of life's sting.	troubled soul loose heart 'cause joy peace brings beauty store outweighs hurt life sting.	0.3078586	0.354
We floated like butterflies. Now you sting like bees!'	floated like butterflies. sting like bees !'	0.3152837	0.271
I don't like pineapple I only eat them on pizza, they lose the sting when they get cooked.	like pineapple eat pizza lose sting get cooked.	0.39834017	0.192
Ok but how are the fast &amp; furious movies NOT classified as comedy's? ðŸ¤”	ok fast & furious movies classified comedy ? ðÿ¤”	0.3549255	0.292
@Shonna_Ludi @_braaaat_ ðŸ˜‚ðŸ˜‚ðŸ˜­ðŸ˜­ðŸ˜­ resentment	ðÿ˜‚ðÿ˜‚ðÿ˜­ðÿ˜­ðÿ˜­ resentment	0.53596413	0.438
no offense but the doctor crying tears of joy after realizing he has a family for christmas is Cute	offense doctor crying tears joy realizing family christmas cute	0.4159303	0.208
@JankHambrams You sound like my husband @Enistachia ... he makes hotter and hotter sauce - the fiery torment brings him mouth-joy! ðŸ”¥	sound like husband ... makes hotter hotter sauce - fiery torment brings mouth-joy ! ðÿ”¥	0.39836767	0.292
warning: i am a sensitive, angry, insecure baby today, but UGH why do people at large either hate or ignore me bc it is literally~the worst~	warning: sensitive angry insecure baby today ugh people large either hate ignore bc literally~the worst~	0.52966803	0.688
Karev better not be out!!! Or I am seriously done DONE with @GreysABC  #unfair #ugh	karev better ! ! ! seriously done done unfair ugh	0.57801485	0.604
A black female LEOðŸ’™ was shot 8 times and died in Philadelphia --Where's the #outrage black people? @BarackObama #Sharpton #blm #TheFive	black female leoðÿ’™ shot 8 times died philadelphia --where outrage black people ? sharpton blm thefive	0.5515973	0.583
@JessicaValenti @nytimes I don't know... Wasn't punk mostly about white men throwing tantrums?	know... punk mostly white men throwing tantrums ?	0.6972892	0.354
Oh daaaaaaamn @SophiaBush! #getitgirl #girlpower #anger #rawr #ChicagoPD	oh daaaaaaamn getitgirl girlpower anger rawr chicagopd	0.68144035	0.375
Oh daaaaaaamn @SophiaBush! #getitgirl #girlpower  #rawr #ChicagoPD	oh daaaaaaamn getitgirl girlpower rawr chicagopd	0.46359873	0.354
I'm deleting all these social media apps off my phone. I might keep snap chat and insta but I'll never be on it.	deleting social media apps phone. might keep snap chat insta never it.	0.4332017	0.333
Panpiper playing Big River outside The Bridges in SR1 #outrage	panpiper playing big river outside bridges sr1 outrage	0.37869802	0.5
Panpiper playing Big River outside The Bridges in SR1 	panpiper playing big river outside bridges sr1	0.31957513	0.271
I base when it's going to rain here off of brills snap stories.	base going rain brills snap stories.	0.4489274	0.25
@ColinOccupantz @JasnaBadzak @proremain and there was I thinking #UKIP were a party of angry old men - how wrong can you be!	thinking ukip party angry old men - wrong !	0.6172607	0.583
@mattstottwrites For me not so much outrage as â€˜oh, using female body to sell something, AGAINâ€™	much outrage â€˜oh using female body sell something againâ€™	0.51684135	0.542
Congrats to #Nicole #bb18 ... Fix that nose now ðŸ˜’ðŸ’ðŸ» #bitter #petty	congrats nicole bb18 ... fix nose ðÿ˜’ðÿ’ðÿ» bitter petty	0.4260744	0.5
Congrats to #Nicole #bb18 ... Fix that nose now ðŸ˜’ðŸ’ðŸ»  #petty	congrats nicole bb18 ... fix nose ðÿ˜’ðÿ’ðÿ» petty	0.36838102	0.417
I had Golden Ocean the other day it was lush, then I gagged and was sick... What a waste of Â£20 - I was fuming @EmmaGould_ I miss you	golden ocean day lush gagged sick... waste â£20 - fuming miss	0.53953546	0.688
@PearseDoherty @harrymcgee @IrishTimes That might sting for a bit lads but you'll get over it.     #betterwithsinnfein	might sting bit lads get it. betterwithsinnfein	0.30755433	0.417
No offense but to the ppl out there using creams to build your glutes...COME ON. Go squat and what not.	offense ppl using creams build glutes...come on. go squat not.	0.6240581	0.542
This is a joke @SomersetCCC #fuming	joke fuming	0.7547921	0.688
This is a joke @SomersetCCC 	joke	0.4249611	0.312
@UMA1R_ @bilalmahmooduk @Muslim_Scientst i do not offend your Faith unless 1 persecutes me, treat me like a dog, disrespect me and even so	offend faith unless 1 persecutes treat like dog disrespect even	0.53253704	0.521
The patriots have the lamest color rush jerseys in the whole nfl #madden (I hope they wear them tonight)	patriots lamest color rush jerseys whole nfl madden hope wear tonight	0.43975657	0.396
no offense but could troye start dming people so i can feel like less of an idiot when i dm him thanks	offense could troye start dming people feel like less idiot dm thanks	0.5057361	0.375
ForgivenessÂ might make us look weak, but the weakest person is the one who holds anger, hatred, and revenge.	forgivenessâ might make us look weak weakest person one holds anger hatred revenge.	0.47423917	0.333
Instagram seriously sort your sh*t out. I spent ages writing that caption for you to delete it and not post it!! #fume #instagram	instagram seriously sort sht out. spent ages writing caption delete post ! ! fume instagram	0.5538993	0.729
Instagram seriously sort your sh*t out. I spent ages writing that caption for you to delete it and not post it!!  #instagram	instagram seriously sort sht out. spent ages writing caption delete post ! ! instagram	0.4981896	0.708
Trump supports reach another level of irritation within me	trump supports reach another level irritation within	0.49297544	0.688
People you need to look up the definition of protest. What you are doing is not protesting is called vandalism. #angry #stop	people need look definition protest. protesting called vandalism. angry stop	0.71879333	0.78
People you need to look up the definition of protest. What you are doing is not protesting is called vandalism.  #stop	people need look definition protest. protesting called vandalism. stop	0.5209749	0.688
RE: #politicallycorrect #BS   What if I am #offended by your assumption the USA should change because you are a 'visitor' &amp; don't like it?	re: politicallycorrect bs offended assumption usa change 'visitor' & like ?	0.40214825	0.583
@NJDDanin123 I personally liked #relentless â€¦didn't get #OurHouse #OneJersey #werealldevilsinside \nDoes nothing till a puck drops #NJDevils	personally liked relentless â€¦did get ourhouse onejersey werealldevilsinside nothing till puck drops njdevils	0.36149502	0.354
@Who_JN I've been having a quad shot every day and can sleep right after... it's time to detox ðŸ˜… I get raging migraines without coffee :/	quad shot every day sleep right after... time detox ðÿ˜… get raging migraines without coffee :/	0.60918593	0.438
@THATSSHAWTYLO passed away early this morning in a fast and furious styled car crash as he was leaving an ATL strip club. That's rough stuff	passed away early morning fast furious styled car crash leaving atl strip club. rough stuff	0.6434294	0.354
@inthefade going back to blissful ignorance?! #fury	going back blissful ignorance ? ! fury	0.50323343	0.583
@inthefade going back to blissful ignorance?! 	going back blissful ignorance ? !	0.43198746	0.454
@MarianKeyes the pout tips me over the edge. I am most definitely AGIN. Who the feic bakes with full make up and boots with heels!!!!	pout tips edge. definitely agin. feic bakes full make boots heels ! ! ! !	0.44245157	0.49
ethan was with someone in the car when he did his revenge on grayson	ethan someone car revenge grayson	0.3451107	0.292
@jonfavs Don King is an insult to the intelligence of the Black Community.  What are these people thinking?	king insult intelligence black community. people thinking ?	0.5097648	0.542
@zavierdaniels had to snap going crazy ðŸ˜­ðŸ˜­	snap going crazy ðÿ˜­ðÿ˜­	0.4517209	0.458
Got a $20 tip from a drunk Uber passenger. Today I get a $25 parking ticket. I'd blame karma but my dumb ass forgot to pay the meter. 	got $20 tip drunk uber passenger. today get $25 parking ticket. would blame karma dumb ass forgot pay meter.	0.691606	0.729
Got a $20 tip from a drunk Uber passenger. Today I get a $25 parking ticket. I'd blame karma but my dumb ass forgot to pay the meter. #rage	got $20 tip drunk uber passenger. today get $25 parking ticket. would blame karma dumb ass forgot pay meter. rage	0.6999453	0.708
If I do my homework now I can watch revenge and possibly go out tonight'\n*plays on phone for 2 hours to avoid doing homework	homework watch revenge possibly go tonight' plays phone 2 hours avoid homework	0.3639907	0.438
@MegMuphet I wasn't meaning to offend you. I was saying from personal experience. Kids got placed into these classes and they take advantage	meaning offend you. saying personal experience. kids got placed classes take advantage	0.5133456	0.417
@SINice Damn..  Lol..  Maybe it is for the best though..  Her brother might still be lookin for revenge ðŸ˜‚	damn.. lol.. maybe best though.. brother might still lookin revenge ðÿ˜‚	0.49296406	0.417
@Red_Magpie @ali_faceache1 @joanna_caron @KCBFD @xMATTxLAWx he's not exactly a rabid tub thumper compared to McTernan now is he.	exactly rabid tub thumper compared mcternan he.	0.49367738	0.5
Dear hipster behind me at the game I am finding it very hard to pay attention while you talk about the politics of grapes of wrath. SHUT UP!	dear hipster behind game finding hard pay attention talk politics grapes wrath. shut !	0.56806004	0.854
JV girls earn the W vs Stonington 2-1 today. Goals by K Waite and S Winakor. @DeluciaAlexis 1 assist. @mhseccathletics 	jv girls earn w vs stonington 2-1 today. goals k waite winakor. 1 assist.	0.30572554	0.292
JV girls earn the W vs Stonington 2-1 today. Goals by K Waite and S Winakor. @DeluciaAlexis 1 assist. @mhseccathletics #relentless	jv girls earn w vs stonington 2-1 today. goals k waite winakor. 1 assist. relentless	0.31410953	0.188
White people irritate me.	white people irritate me.	0.5663624	0.629
Y'all bitches be so angry and bitter, that must truly suck lol	y'all bitches angry bitter must truly suck lol	0.69161433	0.708
@daynutrition @sliqnicq @nytimes I don't listen to White Trash talk about blacks. It's insult. Talk about your race living in trailers	listen white trash talk blacks. insult. talk race living trailers	0.6046859	0.625
